20:58:03 - INFO    	|    Train
21:11:13 - INFO    	|    -220.96408035863686
21:11:15 - INFO    	|    -115.53661253225626
21:11:17 - INFO    	|    -98.68572375400848
21:11:19 - INFO    	|    -113.12136393544952
21:11:20 - INFO    	|    -164.6305053848215
21:11:21 - INFO    	|    -145.29640781248406
21:11:24 - INFO    	|    -395.32907009499075
21:11:26 - INFO    	|    -104.24708917802499
21:11:28 - INFO    	|    -321.0678182289938
21:11:29 - INFO    	|    -73.59102472978235
21:11:31 - INFO    	|    -228.78067758209392
21:11:33 - INFO    	|    -170.69479625700015
21:11:34 - INFO    	|    -120.24343966753582
21:11:37 - INFO    	|    -206.69575806446778
21:11:38 - INFO    	|    -175.95975046571442
21:11:40 - INFO    	|    -257.2598662614929
21:11:42 - INFO    	|    -94.57984260904003
21:11:44 - INFO    	|    -253.93740375891488
21:11:46 - INFO    	|    -128.47987352586216
21:11:48 - INFO    	|    -429.6269011116352
21:11:50 - INFO    	|    -130.86285084438444
21:11:52 - INFO    	|    20.25032942702842
21:11:54 - INFO    	|    -362.6239445406718
21:11:55 - INFO    	|    -84.35079775590634
21:11:58 - INFO    	|    -117.98688860766893
21:12:00 - INFO    	|    -164.3379570986747
21:12:01 - INFO    	|    -249.815005513874
21:12:03 - INFO    	|    -103.62041685102771
21:12:05 - INFO    	|    -126.84671472561499
21:12:06 - INFO    	|    -89.57903691157665
21:12:08 - INFO    	|    -95.99191405728455
21:12:10 - INFO    	|    -219.37660148377353
21:12:12 - INFO    	|    5.592975500960165
21:12:15 - INFO    	|    -21.406796080814104
21:12:17 - INFO    	|    -325.2790595489157
21:12:19 - INFO    	|    -359.27074627667383
21:12:20 - INFO    	|    -29.445728801137506
21:12:22 - INFO    	|    -218.63986936347106
21:12:24 - INFO    	|    -341.05466142945363
21:12:26 - INFO    	|    -233.45054947918953
21:12:27 - INFO    	|    -109.4681834567255
21:12:29 - INFO    	|    -109.91540490683415
21:12:30 - INFO    	|    -49.56375652573993
21:12:32 - INFO    	|    -96.54048637670964
21:12:34 - INFO    	|    -199.79731052366407
21:12:35 - INFO    	|    -92.57262841638847
21:12:37 - INFO    	|    -15.460348737357606
21:12:39 - INFO    	|    -13.626797996271051
21:12:41 - INFO    	|    -74.00339187038273
21:12:42 - INFO    	|    -108.9532610161938
21:12:45 - INFO    	|    -321.07019060405287
21:12:47 - INFO    	|    -235.52180385417864
21:12:49 - INFO    	|    -114.68598442247331
21:12:51 - INFO    	|    -254.6077842753665
21:12:53 - INFO    	|    -187.55076440939274
21:12:55 - INFO    	|    -163.1812252128408
21:12:56 - INFO    	|    -172.78589983733457
21:12:59 - INFO    	|    -223.9904770792376
21:13:00 - INFO    	|    -185.33459026676042
21:13:02 - INFO    	|    -82.26117300615623
21:13:04 - INFO    	|    -310.46701212961227
21:13:06 - INFO    	|    -205.53248846931345
21:13:07 - INFO    	|    -63.3015731059659
21:13:09 - INFO    	|    -223.84420826300845
21:13:11 - INFO    	|    -428.65542189527866
21:13:12 - INFO    	|    -84.48926364366577
21:13:15 - INFO    	|    -86.34155249104681
21:13:17 - INFO    	|    -148.69320647761097
21:13:18 - INFO    	|    -92.52739767536953
21:13:21 - INFO    	|    -22.95301406340988
21:13:22 - INFO    	|    -153.43593937383446
21:13:24 - INFO    	|    -185.43285049112765
21:13:26 - INFO    	|    -328.7305163953165
21:13:27 - INFO    	|    -158.89330055733865
21:13:29 - INFO    	|    -92.90026335511764
21:13:31 - INFO    	|    -291.896103370941
21:13:32 - INFO    	|    -244.16821122881242
21:13:34 - INFO    	|    -105.3197301607349
21:13:36 - INFO    	|    -104.43735362432723
21:13:38 - INFO    	|    -255.83999662873745
21:13:40 - INFO    	|    -136.70635593370972
21:13:41 - INFO    	|    -307.1545225031119
21:13:44 - INFO    	|    -121.28601686502421
21:13:46 - INFO    	|    -0.3548862495300966
21:13:48 - INFO    	|    -212.96197767492015
21:13:50 - INFO    	|    -18.22691264084132
21:13:51 - INFO    	|    -387.4821359299247
21:13:53 - INFO    	|    -118.76855650811348
21:13:55 - INFO    	|    -146.5874974412099
21:13:56 - INFO    	|    -199.80332453359557
21:13:59 - INFO    	|    -170.27509669850826
21:14:00 - INFO    	|    -322.5886333123753
21:14:02 - INFO    	|    -484.80052067001304
21:14:03 - INFO    	|    -238.6516293393533
21:14:05 - INFO    	|    -79.9380654147021
21:14:06 - INFO    	|    -178.9843003582597
21:14:08 - INFO    	|    -197.45473173102607
21:14:09 - INFO    	|    -74.46888854668981
21:14:10 - INFO    	|    -101.8816103562513
21:14:12 - INFO    	|    -90.47982373285595
21:14:13 - INFO    	|    -101.31139923330642
21:14:15 - INFO    	|    -408.52581715895036
21:14:17 - INFO    	|    -130.0427495516792
21:14:19 - INFO    	|    -426.83601029556866
21:14:20 - INFO    	|    -142.05613828603344
21:14:22 - INFO    	|    -102.2868209700379
21:14:24 - INFO    	|    -361.2440238866133
21:14:26 - INFO    	|    -393.69799001857757
21:14:28 - INFO    	|    -466.3020479107136
21:14:30 - INFO    	|    -195.6188593886048
21:14:31 - INFO    	|    -112.78643296011998
21:14:33 - INFO    	|    -113.65587278973123
21:14:35 - INFO    	|    -419.98527360976385
21:14:37 - INFO    	|    -113.02625623327825
21:14:38 - INFO    	|    -103.21529838897513
21:14:40 - INFO    	|    -480.12514421700354
21:14:42 - INFO    	|    -98.8563415469804
21:14:43 - INFO    	|    -87.06727060603347
21:14:45 - INFO    	|    -333.2674900062402
21:14:47 - INFO    	|    -442.336469379
21:14:49 - INFO    	|    -144.8771741482694
21:14:50 - INFO    	|    -225.0005808572236
21:14:52 - INFO    	|    -292.95653934737265
21:14:53 - INFO    	|    -210.42997471923573
21:14:56 - INFO    	|    -8.697795613016055
21:14:58 - INFO    	|    -197.7901408337415
21:15:00 - INFO    	|    -105.16002361079465
21:15:01 - INFO    	|    -105.48410875661807
21:15:04 - INFO    	|    -179.2284371977772
21:15:06 - INFO    	|    -209.02028895722458
21:15:07 - INFO    	|    -80.9988706429836
21:15:08 - INFO    	|    -21.380800735535473
21:15:10 - INFO    	|    -219.34077838022438
21:15:12 - INFO    	|    -285.39538648039763
21:15:13 - INFO    	|    -152.867771425404
21:15:15 - INFO    	|    -251.11887452068322
21:15:17 - INFO    	|    -237.82932609200637
21:15:19 - INFO    	|    -485.232794358221
21:15:21 - INFO    	|    -310.9610265892316
21:15:23 - INFO    	|    -199.50553405371613
21:15:25 - INFO    	|    -145.47698783202793
21:15:28 - INFO    	|    -94.7835223696161
21:15:30 - INFO    	|    -319.9534723646319
21:15:32 - INFO    	|    -134.92530889815583
21:15:34 - INFO    	|    -116.86395436813953
21:15:35 - INFO    	|    -144.74057176407004
21:15:36 - INFO    	|    -104.53317569447982
21:15:40 - INFO    	|    26.930503849814627
21:15:42 - INFO    	|    -222.66413959874436
21:15:44 - INFO    	|    -218.41687347799467
21:15:45 - INFO    	|    -97.50647831087494
21:15:47 - INFO    	|    -165.5920023079512
21:15:48 - INFO    	|    -125.01423503938264
21:15:50 - INFO    	|    -113.01963637590201
21:15:52 - INFO    	|    -144.8070173247237
21:15:54 - INFO    	|    -477.94638054803306
21:15:55 - INFO    	|    -145.71903850660783
21:15:57 - INFO    	|    -115.63508471591209
21:15:58 - INFO    	|    -164.04269715220892
21:16:01 - INFO    	|    -196.78097747752716
21:16:03 - INFO    	|    -150.58188455295647
21:16:05 - INFO    	|    -123.69897333493651
21:16:07 - INFO    	|    -114.04830253963878
21:16:09 - INFO    	|    -297.69480637864655
21:16:10 - INFO    	|    -220.7877881059324
21:16:12 - INFO    	|    -72.08232811190106
21:16:14 - INFO    	|    -315.26898857699086
